fixed acidity,volatile acidity,citric acid,pH,sulphates,alcohol,quality,type,pH_bin_5,pH_bin_10
8.6,0.49,0.29,2.93,1.98,9.8,5,Red,"(2.719, 2.978]","(2.849, 2.978]"
5.0,1.02,0.04,3.75,0.48,10.5,4,Red,"(3.494, 3.752]","(3.623, 3.752]"
4.7,0.6,0.17,3.85,0.6,12.9,6,Red,"(3.752, 4.01]","(3.752, 3.881]"
6.8,0.775,0.0,3.45,0.56,10.7,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.0,0.5,0.25,3.25,0.63,9.2,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.6,0.9,0.06,3.39,0.56,9.8,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.1,0.545,0.18,3.3,0.59,9.0,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.3,0.61,0.3,3.4,0.61,10.2,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.8,0.5,0.3,3.31,0.56,10.4,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.1,0.575,0.22,3.29,0.51,9.2,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.2,0.49,0.24,3.33,0.48,9.4,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.8,0.41,0.68,3.08,1.31,9.3,5,Red,"(2.978, 3.236]","(2.978, 3.107]"
6.2,0.63,0.31,3.46,0.79,9.3,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.0,0.33,0.53,3.37,0.8,9.6,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.1,0.785,0.52,3.21,0.69,9.3,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.8,0.56,0.19,3.19,0.93,9.5,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.4,0.62,0.09,3.15,0.66,9.8,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.4,0.6,0.1,3.15,0.66,9.8,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
10.1,0.31,0.44,3.32,0.67,9.7,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
9.4,0.4,0.31,3.07,0.63,10.5,6,Red,"(2.978, 3.236]","(2.978, 3.107]"
8.3,0.54,0.28,3.39,0.61,10.0,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.8,0.56,0.12,3.37,0.5,9.4,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.8,0.55,0.04,3.21,0.6,10.9,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.0,0.69,0.08,3.34,0.54,9.2,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.3,1.07,0.09,3.3,0.57,9.0,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.3,0.695,0.0,3.49,0.52,9.2,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.0,0.71,0.0,3.44,0.53,9.5,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.8,0.5,0.17,3.39,0.48,9.5,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
9.0,0.62,0.04,3.16,0.7,9.4,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.2,1.33,0.0,3.53,0.49,10.9,5,Red,"(3.494, 3.752]","(3.494, 3.623]"
8.1,1.33,0.0,3.54,0.48,10.9,5,Red,"(3.494, 3.752]","(3.494, 3.623]"
8.0,0.59,0.16,3.42,0.92,10.5,7,Red,"(3.236, 3.494]","(3.365, 3.494]"
6.1,0.38,0.15,3.42,0.57,9.4,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.0,0.745,0.56,3.24,0.66,9.4,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
5.6,0.5,0.09,3.63,0.63,13.0,5,Red,"(3.494, 3.752]","(3.623, 3.752]"
6.6,0.5,0.01,3.4,0.58,9.8,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.9,1.04,0.05,3.22,0.55,9.9,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.4,0.745,0.11,3.19,0.82,9.6,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.3,0.715,0.15,3.23,0.77,9.5,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.2,0.415,0.36,3.48,0.64,9.2,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.8,0.56,0.19,3.33,0.54,9.5,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.8,0.56,0.19,3.32,0.54,9.5,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
5.2,0.34,0.0,3.68,0.79,14.0,6,Red,"(3.494, 3.752]","(3.623, 3.752]"
6.3,0.39,0.08,3.34,0.58,9.4,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.1,0.67,0.55,3.17,0.62,9.4,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
5.8,0.68,0.02,3.54,0.52,10.0,5,Red,"(3.494, 3.752]","(3.494, 3.623]"
7.6,0.49,0.26,3.11,0.8,9.3,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
6.9,0.49,0.1,3.42,0.58,10.2,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.2,0.4,0.44,3.53,0.61,10.5,6,Red,"(3.494, 3.752]","(3.494, 3.623]"
7.3,0.33,0.47,3.33,0.53,10.3,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
9.2,0.52,1.0,2.74,2.0,9.4,4,Red,"(2.719, 2.978]","(2.719, 2.849]"
7.5,0.6,0.03,3.35,0.54,10.1,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.1,0.43,0.42,3.42,0.72,10.5,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.1,0.43,0.42,3.42,0.71,10.5,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.1,0.68,0.0,3.48,0.5,9.3,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
6.8,0.6,0.18,3.59,0.57,9.3,6,Red,"(3.494, 3.752]","(3.494, 3.623]"
7.6,0.95,0.03,3.2,0.56,9.6,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.6,0.68,0.02,3.17,1.08,9.2,4,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.8,0.53,0.04,3.33,0.56,10.0,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.4,0.6,0.26,3.37,0.49,9.4,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.3,0.59,0.26,3.37,0.49,9.4,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.8,0.63,0.48,3.19,0.62,9.5,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
6.8,0.64,0.1,3.34,0.52,10.2,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.3,0.55,0.03,3.37,0.48,9.0,4,Red,"(3.236, 3.494]","(3.365, 3.494]"
6.8,0.63,0.07,3.47,0.55,10.4,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.5,0.705,0.24,3.0,1.59,9.5,5,Red,"(2.978, 3.236]","(2.978, 3.107]"
7.9,0.885,0.03,3.36,0.33,9.1,4,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.0,0.42,0.17,3.29,0.61,9.2,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.4,0.62,0.05,3.42,0.57,11.5,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.3,0.38,0.21,3.33,0.47,9.5,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
6.9,0.5,0.04,3.35,0.78,9.5,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.5,0.52,0.42,3.58,0.61,10.5,6,Red,"(3.494, 3.752]","(3.494, 3.623]"
7.0,0.805,0.0,3.48,0.56,9.6,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.8,0.61,0.14,3.19,0.59,9.5,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.9,0.61,0.49,3.12,1.02,9.3,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.2,0.73,0.02,3.44,0.52,9.3,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
6.8,0.61,0.2,3.54,0.58,9.3,5,Red,"(3.494, 3.752]","(3.494, 3.623]"
6.7,0.62,0.21,3.52,0.58,9.3,6,Red,"(3.494, 3.752]","(3.494, 3.623]"
8.9,0.31,0.57,3.26,0.53,9.7,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.4,0.39,0.48,3.34,0.55,9.2,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.7,0.705,0.1,3.39,0.49,9.7,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.9,0.5,0.33,3.2,0.55,9.5,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.9,0.49,0.32,3.2,0.55,9.5,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.2,0.5,0.35,3.23,0.62,9.4,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
6.4,0.37,0.25,3.57,0.62,9.8,6,Red,"(3.494, 3.752]","(3.494, 3.623]"
6.8,0.63,0.12,3.28,0.61,9.5,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.6,0.55,0.21,3.28,0.55,9.7,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.8,0.59,0.33,3.25,0.54,9.4,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.3,0.58,0.3,3.46,0.59,10.2,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
11.5,0.3,0.6,3.11,0.97,10.1,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
5.4,0.835,0.08,3.57,0.85,13.0,7,Red,"(3.494, 3.752]","(3.494, 3.623]"
6.9,1.09,0.06,3.51,0.43,11.4,4,Red,"(3.494, 3.752]","(3.494, 3.623]"
9.6,0.32,0.47,3.22,0.82,10.3,7,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.8,0.37,0.48,3.04,1.03,9.3,5,Red,"(2.978, 3.236]","(2.978, 3.107]"
6.8,0.5,0.11,3.36,0.79,9.5,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.0,0.42,0.35,3.34,0.55,9.2,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.0,0.43,0.36,3.34,0.56,9.2,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
12.8,0.3,0.74,3.2,0.77,10.8,7,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.8,0.57,0.31,3.29,0.53,9.3,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.8,0.44,0.28,3.22,0.67,9.4,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
11.0,0.3,0.58,3.31,0.88,10.5,7,Red,"(3.236, 3.494]","(3.236, 3.365]"
9.7,0.53,0.6,3.3,0.86,12.4,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.0,0.725,0.24,3.35,0.56,10.0,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
11.6,0.44,0.64,3.21,0.67,10.2,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.2,0.57,0.26,3.3,0.43,10.1,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.8,0.735,0.08,3.24,0.71,9.8,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.0,0.49,0.49,3.34,0.76,10.5,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.7,0.625,0.16,3.14,0.57,11.0,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.1,0.725,0.22,3.36,0.55,9.1,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.5,0.49,0.19,3.39,0.54,9.7,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.8,0.53,0.33,3.3,0.6,9.5,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.8,0.34,0.37,3.34,0.59,9.4,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.4,0.53,0.26,3.15,0.57,9.4,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
6.8,0.61,0.04,3.42,0.6,9.5,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.6,0.645,0.25,3.28,0.6,10.0,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.4,0.635,0.36,3.31,0.57,10.4,4,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.7,0.43,0.25,3.37,0.58,10.5,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.9,0.59,0.5,3.04,1.61,9.5,6,Red,"(2.978, 3.236]","(2.978, 3.107]"
9.0,0.82,0.14,3.39,0.63,9.8,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
6.9,0.52,0.25,3.46,0.5,11.0,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
5.2,0.48,0.04,3.54,0.62,12.2,7,Red,"(3.494, 3.752]","(3.494, 3.623]"
8.0,0.38,0.06,3.37,0.52,9.9,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.5,0.37,0.2,3.34,0.7,9.6,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.2,1.0,0.09,3.32,0.55,9.0,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.2,0.63,0.0,3.37,0.58,9.0,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.2,0.645,0.0,3.37,0.58,9.2,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.9,0.635,0.37,3.0,1.09,9.3,5,Red,"(2.978, 3.236]","(2.978, 3.107]"
12.0,0.38,0.56,3.14,0.71,10.9,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.7,0.58,0.1,3.08,0.49,9.8,6,Red,"(2.978, 3.236]","(2.978, 3.107]"
15.0,0.21,0.44,3.07,0.84,9.2,7,Red,"(2.978, 3.236]","(2.978, 3.107]"
7.3,0.66,0.0,3.61,0.96,9.9,6,Red,"(3.494, 3.752]","(3.494, 3.623]"
7.1,0.68,0.07,3.38,0.52,9.5,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.2,0.6,0.17,3.2,0.45,9.3,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.7,0.53,0.06,3.35,0.48,9.8,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
10.8,0.32,0.44,3.22,0.78,10.0,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.1,0.6,0.0,3.47,0.7,9.9,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
11.1,0.35,0.48,3.17,0.53,10.5,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.7,0.775,0.42,3.23,0.59,9.5,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.0,0.57,0.23,3.26,0.57,9.3,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
9.4,0.34,0.37,3.22,0.62,9.2,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
6.6,0.695,0.0,3.49,0.67,9.2,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.7,0.41,0.76,3.06,1.26,9.4,5,Red,"(2.978, 3.236]","(2.978, 3.107]"
10.0,0.31,0.47,3.36,0.8,10.5,7,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.9,0.33,0.23,3.29,0.65,9.3,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.0,0.975,0.04,3.35,0.6,9.4,4,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.0,0.52,0.03,3.34,0.57,10.0,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.9,0.37,0.23,3.28,0.67,9.3,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
12.5,0.56,0.49,3.08,0.87,10.9,5,Red,"(2.978, 3.236]","(2.978, 3.107]"
11.8,0.26,0.52,3.2,0.72,10.2,7,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.1,0.87,0.0,3.6,0.72,9.8,4,Red,"(3.494, 3.752]","(3.494, 3.623]"
7.9,0.35,0.46,3.35,0.86,12.8,8,Red,"(3.236, 3.494]","(3.236, 3.365]"
6.9,0.54,0.04,3.69,0.91,9.4,6,Red,"(3.494, 3.752]","(3.623, 3.752]"
11.5,0.18,0.51,3.28,0.97,10.1,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.9,0.545,0.06,3.36,0.67,10.7,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
10.9,0.37,0.58,3.22,0.78,10.1,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.4,0.715,0.2,3.31,0.64,9.4,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.5,0.65,0.18,3.38,0.77,9.4,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
10.3,0.32,0.45,3.23,0.82,12.6,8,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.9,0.4,0.32,3.38,0.77,10.5,7,Red,"(3.236, 3.494]","(3.365, 3.494]"
11.4,0.26,0.44,3.12,0.82,9.3,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.7,0.27,0.68,3.25,1.08,9.9,7,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.6,0.52,0.12,3.36,0.57,9.1,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
9.9,0.59,0.07,3.31,0.71,9.8,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
12.0,0.45,0.55,3.1,0.76,10.3,6,Red,"(2.978, 3.236]","(2.978, 3.107]"
7.5,0.4,0.12,3.37,0.7,10.3,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.7,0.52,0.09,3.34,0.86,10.6,7,Red,"(3.236, 3.494]","(3.236, 3.365]"
11.6,0.42,0.53,3.2,0.95,9.2,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
11.0,0.2,0.48,3.3,0.71,10.5,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
10.4,0.55,0.23,3.22,0.64,10.3,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
6.9,0.36,0.25,3.41,0.6,10.1,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
13.3,0.34,0.52,3.05,0.81,9.5,6,Red,"(2.978, 3.236]","(2.978, 3.107]"
10.8,0.5,0.46,3.05,0.64,9.5,5,Red,"(2.978, 3.236]","(2.978, 3.107]"
10.6,0.83,0.37,3.16,0.52,9.9,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.1,0.63,0.06,3.67,0.73,9.6,5,Red,"(3.494, 3.752]","(3.623, 3.752]"
7.2,0.65,0.02,3.67,0.8,9.7,5,Red,"(3.494, 3.752]","(3.623, 3.752]"
6.9,0.67,0.06,3.68,0.71,9.6,5,Red,"(3.494, 3.752]","(3.623, 3.752]"
7.5,0.53,0.06,3.38,0.59,10.7,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
